Date,Open
2022-05-05,155.690002
2022-05-06,149.960007
2022-05-09,146.000000
2022-05-10,136.759995
2022-05-11,132.949997
2022-05-12,126.889999
2022-05-13,124.980003
2022-05-16,127.050003
2022-05-17,126.910004
2022-05-18,130.339996
2022-05-19,124.400002
2022-05-20,128.770004
2022-05-23,121.699997
2022-05-24,122.440002
2022-05-25,119.169998
2022-05-26,123.099998
2022-05-27,128.770004
2022-05-31,131.029999
2022-06-01,133.000000
2022-06-02,132.139999
2022-06-03,138.520004
2022-06-06,139.990005
2022-06-07,137.490005
2022-06-08,139.130005
2022-06-09,139.350006
2022-06-10,130.270004
2022-06-13,123.000000
2022-06-14,116.650002
2022-06-15,124.349998
2022-06-16,131.699997
2022-06-17,132.250000
2022-06-21,139.169998
2022-06-22,134.029999
2022-06-23,136.419998
2022-06-24,135.009995
2022-06-27,140.279999
2022-06-28,140.889999
2022-06-29,138.610001
2022-06-30,134.300003
2022-07-01,135.880005
2022-07-05,136.250000
2022-07-06,137.539993
2022-07-07,137.929993
2022-07-08,139.699997
2022-07-11,137.770004
2022-07-12,136.860001
2022-07-13,142.789993
2022-07-14,141.110001
2022-07-15,149.169998
2022-07-18,153.309998
2022-07-19,149.610001
2022-07-20,156.000000
2022-07-21,158.889999
2022-07-22,161.800003
2022-07-25,156.940002
2022-07-26,155.240005
2022-07-27,161.119995
2022-07-28,154.020004
2022-07-29,157.949997
2022-08-01,165.949997
2022-08-02,167.000000
2022-08-03,164.509995
2022-08-04,165.770004
2022-08-05,164.399994
2022-08-08,166.410004
2022-08-09,166.509995
2022-08-10,168.350006
2022-08-11,170.500000
2022-08-12,168.389999
2022-08-15,169.289993
2022-08-16,170.000000
2022-08-17,169.610001
2022-08-18,167.199997
2022-08-19,166.330002
2022-08-22,159.399994
2022-08-23,159.139999
2022-08-24,162.270004
2022-08-25,164.559998
2022-08-26,170.000000
2022-08-29,162.279999
2022-08-30,167.270004
2022-08-31,163.000000
2022-09-01,158.000000
2022-09-02,155.190002
2022-09-06,152.389999
2022-09-07,151.259995
2022-09-08,155.000000
2022-09-09,158.000000
2022-09-12,158.460007
2022-09-13,153.600006
2022-09-14,146.899994
2022-09-15,147.880005
2022-09-16,145.229996
2022-09-19,142.619995
2022-09-20,145.259995
2022-09-21,146.770004
2022-09-22,143.130005
2022-09-23,135.649994
2022-09-26,129.770004
2022-09-27,129.320007
2022-09-28,128.039993
2022-09-29,131.199997
2022-09-30,123.139999
2022-10-03,122.000000
2022-10-04,129.399994
2022-10-05,130.279999
2022-10-06,131.130005
2022-10-07,130.360001
2022-10-10,131.419998
2022-10-11,132.960007
2022-10-12,128.429993
2022-10-13,126.500000
2022-10-14,135.589996
2022-10-17,136.979996
2022-10-18,139.000000
2022-10-19,137.169998
2022-10-20,138.360001
2022-10-21,138.479996
2022-10-24,142.850006
2022-10-25,142.089996
2022-10-26,147.050003
2022-10-27,137.100006
2022-10-28,141.160004
2022-10-31,141.880005
2022-11-01,143.990005
2022-11-02,142.119995
2022-11-03,148.789993
2022-11-04,156.660004
2022-11-07,161.399994
2022-11-08,166.000000
2022-11-09,169.289993
2022-11-10,172.139999
2022-11-11,176.399994
2022-11-14,176.500000
2022-11-15,175.490005
2022-11-16,174.110001
2022-11-17,169.300003
2022-11-18,173.979996
2022-11-21,172.529999
2022-11-22,173.649994
2022-11-23,172.089996
2022-11-25,174.350006
2022-11-28,176.169998
2022-11-29,172.880005
2022-11-30,178.000000
2022-12-01,178.880005
2022-12-02,173.119995
2022-12-05,182.000000
2022-12-06,184.009995
2022-12-07,176.279999
2022-12-08,179.320007
2022-12-09,180.750000
2022-12-12,180.800003
2022-12-13,191.110001
2022-12-14,187.330002
2022-12-15,186.250000
2022-12-16,182.789993
2022-12-19,184.919998
2022-12-20,186.179993
2022-12-21,190.039993
2022-12-22,193.820007
2022-12-23,188.250000
2022-12-27,189.580002
2022-12-28,189.320007
2022-12-29,189.000000
2022-12-30,187.500000
2023-01-03,192.949997
2023-01-04,195.179993
2023-01-05,201.720001
2023-01-06,205.300003
2023-01-09,212.360001
2023-01-10,203.899994
2023-01-11,209.869995
2023-01-12,209.580002
2023-01-13,212.000000
2023-01-17,212.710007
2023-01-18,212.899994
2023-01-19,206.770004
2023-01-20,207.470001
2023-01-23,208.360001
2023-01-24,205.000000
2023-01-25,205.800003
2023-01-26,213.479996
2023-01-27,211.320007
2023-01-30,209.190002
2023-01-31,210.149994
2023-02-01,212.110001
2023-02-02,215.149994
2023-02-03,207.710007
2023-02-06,205.190002
2023-02-07,208.039993
2023-02-08,213.070007
2023-02-09,214.460007
2023-02-10,212.009995
2023-02-13,213.600006
2023-02-14,214.020004
2023-02-15,217.160004
2023-02-16,215.000000
2023-02-17,211.210007
2023-02-21,208.990005
2023-02-22,205.309998
2023-02-23,207.449997
2023-02-24,200.000000
2023-02-27,199.869995
2023-02-28,201.000000
2023-03-01,201.470001
2023-03-02,203.779999
2023-03-03,210.250000
2023-03-06,214.119995
2023-03-07,211.309998
2023-03-08,208.250000
2023-03-09,208.320007
2023-03-10,201.429993
2023-03-13,200.199997
2023-03-14,207.529999
2023-03-15,201.919998
2023-03-16,196.210007
2023-03-17,201.350006
2023-03-20,201.119995
2023-03-21,207.300003
2023-03-22,203.679993
2023-03-23,197.899994
2023-03-24,195.500000
2023-03-27,198.630005
2023-03-28,200.820007
2023-03-29,206.500000
2023-03-30,208.970001
2023-03-31,211.750000
2023-04-03,212.800003
2023-04-04,212.000000
2023-04-05,212.229996
2023-04-06,210.000000
2023-04-10,211.000000
2023-04-11,213.289993
2023-04-12,213.660004
2023-04-13,213.000000
2023-04-14,202.589996
2023-04-17,202.000000
2023-04-18,205.500000
2023-04-19,207.119995
2023-04-20,207.419998
2023-04-21,208.000000
2023-04-24,204.869995
2023-04-25,204.539993
2023-04-26,208.250000
2023-04-27,204.649994
2023-04-28,204.509995
2023-05-01,206.250000
2023-05-02,203.000000
2023-05-03,204.360001
2023-05-04,200.649994
